word2,he,she,total,logratio,freq
fidgets,7.528818644701106e-5,1.09423442669932e-4,46,0.539426438594659,1.453394587302828
understands,3.513448700860516e-4,5.106427324596827e-4,222,0.539426438594659,1.453394587302828
breaks,0.0013356681965969739,0.0019383581272959384,849,0.5372734833512186,1.451227282520092
recoils,1.6173017829357932e-4,2.3447880572128287e-4,101,0.5358686191814698,1.4498147976789293
hums,1.4778792154413283e-4,2.1363624521272438e-4,92,0.5316280680342514,1.4455595760505213
looked,1.3384566479468632e-4,1.9279368470416592e-4,83,0.526487382887161,1.4404178499161957
pretends,2.4259526744036897e-4,3.491128885183545e-4,152,0.5251422125884114,1.4390754288072336
trails,2.9557584308826567e-4,4.2206185029830914e-4,185,0.5139260663007926,1.4279308007328322
frowns,5.04709694329963e-4,7.190683375452675e-4,317,0.510675087674331,1.4247167146251873
retreats,1.756724350430258e-4,2.5011072610270173e-4,109,0.509679095200607,1.4237334732762397
gonna,6.971128374723247e-5,9.900216241565276e-5,42,0.5060678416482277,1.4201741395930487
licks,2.7605668363904056e-4,3.907980095354714e-4,172,0.5014585883956382,1.4156440785417153
touches,0.0016312440396852397,0.002308313576322851,1026,0.5008665920636185,1.415063301483852
reacts,5.576902699778597e-4,7.868066591980824e-4,349,0.49654506752972116,1.4108308886746734
nearly,1.7009553234324722e-4,2.396894458484225e-4,105,0.4948211364734938,1.4091460401484093
sighs,0.0011432650534546123,0.0016100877992861423,717,0.4939794463782959,1.4083241628185243
backs,0.001307783683098081,0.0018393559648802855,820,0.49207677873517086,1.4064680486935985
squirms,1.3384566479468632e-4,1.875830445770263e-4,82,0.4869590187005236,1.4014876377562986
embraces,3.0115274578804423e-4,4.2206185029830914e-4,187,0.4869590187005234,1.4014876377562984
panics,1.2826876209490773e-4,1.7716176432274705e-4,78,0.46589740317269374,1.381176222716352
yelps,1.2826876209490773e-4,1.7716176432274705e-4,78,0.46589740317269374,1.381176222716352
ends,9.480734589623615e-5,1.302660031784905e-4,57,0.45838986650375263,1.374007487996371
allows,1.979800458421402e-4,2.709532866112602e-4,121,0.4526891166157775,1.3685888669169488
flashes,3.0115274578804423e-4,4.116405700440299e-4,185,0.4508897639930016,1.3668830047252787
senses,5.074981456798523e-4,6.930151369095694e-4,313,0.4494843132818606,1.3655520573010087
exits,0.002317203071758007,0.0031472266367923297,1433,0.4416965905341016,1.3582006148492647
gathers,4.6567137543151283e-4,6.304874553838939e-4,286,0.4371554627799096,1.3539321690100767
collects,1.6173017829357932e-4,2.18846885339864e-4,98,0.4363329456305552,1.3531604778336672
