word2,total,female_he,female_she,male_he,male_she,female_ratio,male_ratio,self_ratio,self_logratio
flies,76,0.001172103926548154,9.902390720045269e-4,8.113044314140152e-4,5.875985773929179e-4,0.8448389682651954,1.380712041566957,1.1664793366687596,0.222160751257349
loses,105,8.595428794686463e-4,5.304852171452823e-4,0.0010804575603191387,5.721354569352095e-4,0.6171713242197044,1.8884646061037487,1.165506201691093,0.2209566811078612
fights,100,6.251220941590154e-4,7.78044985146414e-4,9.689512640584447e-4,0.0010360290706664605,1.244628837176404,0.935254899203875,1.1640452176596539,0.21914710122410513
bursts,80,8.595428794686463e-4,0.0011317017965766021,5.921368835912717e-4,6.726457399103139e-4,1.3166321583353695,0.8803101669390239,1.1590446751014964,0.21293617575353926
finally,222,0.0012111740574330923,0.0014146272457207527,0.002349322310871864,0.002373588990258234,1.1679801404587957,0.9897763768344198,1.1560391516378636,0.2091902584937013
dives,104,5.86051963274077e-4,3.89022492573207e-4,0.0010496972027299817,6.030616978506262e-4,0.6638020464940821,1.7406132846294338,1.1554226604918045,0.20842069463104662
goes,675,0.012307091228755616,0.013792615645777337,0.015130250889166587,0.01471315911550951,1.1207047538211776,1.028348213349872,1.1524747312847161,0.20473511902782243
notices,432,0.004336784528228169,0.005587777620596973,0.006267422858790734,0.007012525127570743,1.2884609747673832,0.8937469377684604,1.1515580506325143,0.20358713996157854
had,207,0.002344207853096308,0.0019097467817230159,0.002299336729789484,0.0016390907685170867,0.8146661479700098,1.4028123237309993,1.1428237120987916,0.19260287573451956
sinks,79,0.0011330337956632155,0.0012024331588626398,6.921080457560319e-4,6.494510592237513e-4,1.061250920727216,1.0656816028343472,1.1309555822100064,0.1775422692183455
spins,216,0.0019535065442469234,0.002334134955439242,0.002399307891954244,0.0025591464357507345,1.194843683689348,0.9375422439436915,1.1202164283680576,0.163777491183423
waits,277,0.003281890994334831,0.003748762201159994,0.0026915312890512352,0.002744703881243235,1.1422567683177387,0.9806272026081317,1.1201280593756289,0.16366367876938684
slams,257,0.0023832779839812464,0.002440231998868298,0.0027030664231471693,0.0024740992732333383,1.0238973444431818,1.0925456599057966,1.1186545998604687,0.16176465294511946
listens,217,0.0020707169369017387,0.0021926722308671666,0.0020878592713640294,0.001987010978815525,1.0588952028121723,1.0507537671526208,1.1126381233747284,0.15398444397882305
drinks,101,0.001172103926548154,7.426793040033952e-4,0.0010035566663462463,5.721354569352095e-4,0.6336292261988966,1.7540543138543716,1.111420077598382,0.15240420765584028
taps,153,0.0016409454971674155,8.487763474324516e-4,0.0015880034605402287,7.499613421988557e-4,0.5172483479174667,2.1174470885182806,1.0952460083387303,0.13125495671937748
thinks,281,0.0025004883766360617,0.003112179940585656,0.0024877439200230705,0.002829751043760631,1.244628837176404,0.8791387940321965,1.094201494932959,0.12987843189042628
leaps,180,0.002852119554600508,0.0027585231291554677,0.0019571277516101126,0.001731869491263337,0.9671835546675916,1.1300665330055892,1.092981766403227,0.12826933354498624
releases,80,0.0010158234030084,9.548733908615079e-4,6.459675093722964e-4,5.566723364775012e-4,0.9399994015038576,1.1604088564196224,1.090783630534221,0.12536495490348787
sits,634,0.009494041805040047,0.011741406139482246,0.010439296356820149,0.011844750270604608,1.236713128148346,0.8813437276704427,1.0899693584212373,0.12428757805257476
gets,727,0.012854073061144755,0.012625548168057717,0.01619917331538979,0.014628111952992113,0.9822215968432744,1.1074001462011183,1.087712339946138,0.12129706706138124
seems,341,0.003907013088493847,0.004597538548592446,0.003937325771412092,0.004260089686098654,1.1767399915122363,0.9242354179209439,1.0875847778395997,0.12112786422723573
took,77,5.469818323891385e-4,2.475597680011317e-4,7.61318850331635e-4,3.169939693830215e-4,0.4525923044277833,2.401682441509602,1.0869829907065756,0.12032936500618954
picks,587,0.00890798984176597,0.009937756401188286,0.009085840622897242,0.009355187876913562,1.11560032933515,0.9712087819549828,1.0834808370021687,0.11567363741273809
gasps,123,6.251220941590154e-4,0.0016975526948649032,7.151783139478996e-4,0.0017937219730941704,2.7155538265667,0.398711910025954,1.0827236529686972,0.11466506624627919
fires,178,0.0016409454971674155,0.001167067477719621,0.0024146880707488225,0.0015927014071439617,0.7112164783865166,1.5160958984012267,1.0782723857571626,0.10872166783276559
falls,367,0.005352607931236569,0.004137784693733201,0.005786792271460155,0.00415957940312355,0.7730408703365058,1.391196491432447,1.075451746546032,0.10494279525798172
then,231,0.0023051377222113693,0.0017682840571509406,0.0032682879938479284,0.0023426627493428175,0.7671056007250564,1.3951167297831386,1.0702018570818708,0.09788293750966012
motions,140,0.0014846649736276617,8.134106662894328e-4,0.0016456791310198982,8.42740064945106e-4,0.5478748948336324,1.9527719156524186,1.0698747079221398,0.09744185378231184
flicks,86,9.376831412385232e-4,6.719479417173575e-4,7.61318850331635e-4,5.102829751043761e-4,0.7166044820106569,1.491954243968086,1.0691410981823515,0.09645226298824913
types,81,0.0014065247118577847,0.0013085302022916962,7.920792079207921e-4,6.958404205968764e-4,0.9303286257682213,1.1383058305830585,1.0589984990702905,0.0827005445848452
looks,905,0.07423324868138308,0.08325081341066629,0.07336729789483802,0.07860677284676047,1.121476089076844,0.9333457568327285,1.0467249491292354,0.06588239101875464
should,142,0.0010158234030084,0.0012377988400056586,9.497260405652216e-4,0.0011056131127261482,1.2185177426901859,0.8590039586482919,1.0467115646540504,0.0658639431548261
lets,330,0.0037507325649540927,0.004349978780591314,0.0035835816591367874,0.00397402195763105,1.1597677800961945,0.9017518517368717,1.0458227432865044,0.06463834962314918
collapses,110,0.0012893143192029694,7.78044985146414e-4,0.0011650485436893205,6.726457399103139e-4,0.6034564059037111,1.7320388349514564,1.045209930225457,0.06379273644773034
starts,663,0.014026176987692908,0.016020653557787524,0.013972892434874555,0.015308489253131281,1.1421967348511746,0.912754498750846,1.0425452081939368,0.06010994503499143
digs,102,6.641922250439539e-4,6.719479417173575e-4,8.266846102085937e-4,8.04082263800835e-4,1.011676915779751,1.0281094950421106,1.0401146430280797,0.05674255318627807
slides,257,0.0023832779839812464,0.00208657518743811,0.0027799673171200615,0.0023503943095716717,0.8755064249586627,1.1827663578825944,1.0355195455511685,0.05035478485115086
eyes,131,0.0017972260207071693,0.0019451124628660347,0.0013380755551283283,0.001399412401422607,1.082285945370786,0.9561695707198784,1.0348488877813422,0.04942011577783323
steps,468,0.006798202773979293,0.006436553968029424,0.007397866000192252,0.0067805783207051185,0.9468022920213397,1.0910376151252745,1.0329969146821063,0.04683594521994043
stops,682,0.014846649736276616,0.015277974253784127,0.012980870902624243,0.01299675274470388,1.0290519763831705,0.9987780146016774,1.027794489893915,0.03955182284820216
sighs,175,0.0018753662824770464,0.0023695006365822605,0.0015995385946361628,0.0019715478583578164,1.2634868498608949,0.8113110660009464,1.0250808630388204,0.03573772056351453
was,584,0.006563781988669662,0.006153628518885274,0.00894357396904739,0.008218648523271995,0.9375126306004082,1.0882049455847504,1.0202058811675334,0.02886032255674567
grabs,638,0.013361984762648955,0.01220115999434149,0.012973180813226954,0.011666924385340963,0.9131248247227206,1.1119623634080675,1.015360438185254,0.021991954085179493
slips,258,0.002773979292830631,0.0031475456217286745,0.0026992213784485246,0.003038503169939694,1.1346680308189496,0.888339168164204,1.007970054640221,0.011452779052333635
squeezes,96,8.595428794686463e-4,9.548733908615079e-4,8.189945208113044e-4,9.045925467759394e-4,1.1109083835954678,0.9053739429208044,1.0057875034796062,0.008325533713268485
glances,395,0.006134010548935339,0.0071438675908898006,0.005752186869172354,0.006672336477501159,1.1646324266804104,0.8620948431735252,1.0040236092338506,0.0057931941135130754
recognizes,74,5.079117015042e-4,5.304852171452823e-4,7.11333269249255e-4,7.499613421988557e-4,1.044443779448731,0.9484932478834912,0.9906478726010356,-0.013555754658725001
stares,583,0.011252197694862277,0.011493846371481115,0.010954532346438527,0.01131127261481367,1.0214756870765942,0.9684615267863015,0.9892599034812848,-0.015578491796467525
wears,280,0.0032428208634498927,0.0031829113028716935,0.0033413438431221763,0.0033245708984072984,0.9815254794819397,1.0050451457428426,0.9864774185762396,-0.01964206824764616
